network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,727,752,788,,,,,,,752,7261,7276,7310,,,,
testnet,default,transfer-erc20-test,,,0,586,602,640,,,,,,,605,7111,7133,7167,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,473,514,568,,,,,515,6812,,,6833,6869,,,517,9932
testnet,default,transfer-cadence-test,,,0,468,505,562,,,,,506,4735,,,4767,8252,,,507,8927
mainnet,default,transfer-test,,,0,823,858,883,,,,,,,859,4065,4075,4099,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,782,793,859,,,,,793,7691,,,7727,7793,,,795,8787
testnet,ALCHEMY_URL,transfer-test,,,0,917,957,1031,,,,,,,958,7609,7658,7700,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1016,1058,1108,,,,,,,1061,7675,7680,7727,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,477,504,548,,,,,,,505,7289,7310,7380,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,513,555,574,,,,,,,556,6933,6962,6980,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,519,556,579,,,,,,,558,6940,6957,6978,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,770,807,832,,,,,,,808,7233,7258,7283,,,,
mainnet,default,headless-kittypunch-swap-1,0,21227,,,,,21250,29769,29792,48212,,,,,,,48234,54700,,
