network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,972,1011,1086,,,1012,7947,7980,8056,,
testnet,default,transfer-erc20-test,0,677,714,795,,,717,4378,4410,4488,,
testnet,default,transfer-cadence-soft-finality-test,0,679,722,832,723,2986,,,2993,3409,724,4099
testnet,default,transfer-cadence-test,0,684,721,813,722,5237,,,5257,7451,723,7463
mainnet,default,transfer-test,0,916,960,1040,,,961,7683,7689,7760,,
mainnet,default,transfer-cadence-soft-finality-test,0,764,795,911,796,10001,,,10010,10175,797,12303
testnet,ALCHEMY_URL,transfer-test,0,1786,1817,2080,,,1818,6366,6369,6630,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1667,1666,1956,,,1669,5703,5716,5825,,
mainnet,ALCHEMY_URL,transfer-test,0,1645,1662,1923,,,1663,9414,9454,9603,,
testnet,QUICKNODE_URL,transfer-test,0,933,962,1038,,,963,4625,4648,4723,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,746,760,839,,,763,4424,4455,4537,,
mainnet,QUICKNODE_URL,transfer-test,0,887,908,984,,,909,7628,7648,7723,,
