network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1032,1059,1135,,,,,,,1060,4721,4747,4821,,,,
testnet,default,transfer-erc20-test,,,0,861,910,989,,,,,,,913,4576,4598,4674,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,798,840,1651,,,,,841,4248,,,4268,4378,,,842,7588
testnet,default,transfer-cadence-test,,,0,529,529,610,,,,,530,3871,,,3903,6838,,,531,7181
mainnet,default,transfer-test,,,0,1262,1263,1338,,,,,,,1264,8206,8236,8310,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,787,793,911,,,,,794,7035,,,7041,7160,,,795,11496
testnet,ALCHEMY_URL,transfer-test,,,0,1589,1617,1726,,,,,,,1617,5593,5611,5711,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1147,1163,1266,,,,,,,1166,5211,5219,5338,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,918,962,1063,,,,,,,963,8019,8027,8117,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,711,756,831,,,,,,,757,4417,4439,4513,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,780,810,889,,,,,,,813,4474,4500,4578,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,1002,1012,1087,,,,,,,1013,4682,4702,4777,,,,
mainnet,default,headless-kittypunch-swap-4,0,2016,,,,,2020,5313,5355,21301,,,,,,,21353,29702,,
